923	author	title	journal	abstract	0	pub_date	volume	issue	pages	0	0
1	"Adelstein, DJ"	Aggressive concurrent chemoradiotherapy and surgical resection for proximal esophageal squamous cell carcinoma	Cancer	"BACKGROUND. Proximal esophageal cancer has been a disease associated with relatively poor treatment success, partly due to advanced disease at presentation and the morbidity of the surgery required. Therefore, most patients receive palliative radiation therapy, and disease control is poor. METHODS. Between July 1990 and December 1992, nine consecutive patients with proximal esophageal squamous cell carcinoma were treated with aggressive concurrent chemoradiotherapy followed by surgical resection. Treatment consisted of cisplatin (20 mg/m2/day) and 5-fluorouracil (1000 mg/m2/day), both given as continuous intravenous infusions over 4 days concurrent with accelerated fractionation external beam radiation therapy (150 cGy twice a day to a dose of 2400 cGy). Three weeks after beginning treatment, a second course of chemotherapy and accelerated fractionation radiation therapy was administered to a total preoperative radiation therapy dose of 4500 cGy. After restaging of their disease, patients next underwent surgical resection. A single postoperative course of chemotherapy and 2400 cGy of concurrent accelerated fractionation radiation therapy was administered to those patients with residual tumor in the resection specimen. Two of these nine patients also were given 4-day etoposide infusions (75 mg/m2/day) as part of their chemotherapy and received lower induction radiation therapy doses. RESULTS. Although significant toxicity was experienced, there were no deaths attributable to the chemoradiotherapy and only one perioperative death. All nine patients underwent surgery; five required pharyngolaryngoesophagectomy. No residual tumor was found in the resection specimen in three of the nine patients. Continuous locoregional tumor control was achieved in all patients. Only two developed distant metastases. CONCLUSIONS. These results, using aggressive multimodality treatment, suggest that excellent locoregional control and long term, disease free survival can be achieved in selected patients with proximal esophageal cancer."	1994	Sep-15	74	6	1680-5	8082068	0
2	"Adelstein, DJ"	Mature results from a phase II trial of accelerated induction chemoradiotherapy and surgery for poor prognosis stage III non-small-cell lung cancer	Am J Clin Oncol	"Mature results are reported from a phase II trial of accelerated induction chemoradiotherapy and surgical resection for stage III non-small-cell lung cancer whose prognosis is poor. Surgically staged patients with poor prognosis stage III non-small-cell lung cancer were eligible for this study. Four-day continuous intravenous infusions of cisplatin 20 mg/m2/day, 5-fluorouracil 1,000 mg/m2/day, and etoposide 75 mg/m2/day were given concurrently with accelerated fractionation radiation therapy, 1.5 Gy twice a day, to a total dose of 27 Gy. Surgical resection followed in 4 weeks. Identical postoperative chemotherapy and concurrent radiation to a total dose of 40 to 63 Gy was subsequently given. Between February 1991 and June 1994, 42 eligible and evaluable patients, 23 with stage IIIA disease and 19 with stage IIIB disease, were entered in this trial. Treatment was well tolerated. The pathologic response rate was 40%. This response was complete in 5%. With a median follow-up of 54 months, the Kaplan-Meier 4-year survival estimate is 19%: 26% for stage IIIA and 11% for stage IIIB patients. Patients with a pathologic response, resectable disease, or pathologic downstaging to stage 0, I, or II had a better survival. The 4-year estimates of locoregional and distant disease control are 70% and 19%, respectively. It is concluded that although the ultimate role of concurrent chemoradiotherapy and surgery in stage III non-small-cell lung cancer must await the results of phase III clinical trials, survival and locoregional control in this study appear improved in comparison with historical experience. There is a subset of patients, able to undergo resection with pathologic downstaging, who have a projected survival equivalent to that of patients with more limited disease. Clinical or pathologic tools to identify these patients before treatment would be highly useful."	1999	Jun	22	3	237-42	10362328	0
3	"Allan, JS"	Species-specific diversity among simian immunodeficiency viruses from African green monkeys	J Virol	"The prevalence, natural history, and genetic characteristics of simian immunodeficiency virus (SIV) infections in most feral African monkey species are presently unknown, yet this information is essential to elucidate their origin and relationship to other simian and human immunodeficiency viruses. In this study, a combination of classical and molecular approaches were used to identify and characterize SIV isolates from West African green monkeys (Cercopithecus sabaeus) (SIVagm isolates). Four SIVagm viruses from wild-caught West African green monkeys were isolated and analyzed biologically and molecularly. Amplification, cloning, and sequencing of a 279-bp polymerase fragment directly from uncultured peripheral blood mononuclear cells was facilitated by the use of nested polymerase chain reaction. The results indicated that West African green monkeys are naturally infected with SIVs which are closely related to East African SIVagm isolates. However, structural, antigenic, and genetic differences were observed which strongly suggest that the West African green monkey viruses comprise a phylogenetically distinct subgroup of SIVagm. These findings support our previous hypothesis that SIVagm viruses may have evolved and diverged coincident with the evolution and divergence of their African green monkey host. In addition, this study describes a polymerase chain reaction-based approach that allows the identification and molecular analysis of divergent SIV strains directly from primary monkey tissue. This approach, which does not depend on virus isolation methods, should facilitate future studies aimed at elucidating the origins and natural history of SIVs in feral African green monkey populations."	1991	Jun	65	6	2816-28	2033656	0
4	"Amatayakul-Chantler, S"	Molecular characterization of Limulus polyphemus C-reactive protein. II. Asparagine-linked oligosaccharides	Eur J Biochem	"The N-linked oligosaccharides of C-reactive protein (CRP) from the arachnid Limulus polyphemus, the horseshoe crab, were characterized after their release by hydrazinolysis, re-N-acetylation, and reduction with NaB3H4. High-voltage paper electrophoresis of the reduced oligosaccharides revealed only neutral species. Gel-permeation chromatography on Bio-Gel P4 yielded five fractions. The oligosaccharide fractions were further fractionated using high-voltage borate paper electrophoresis and Dionex BioLC ion-exchange chromatography. The oligosaccharides were structurally characterized by sequential exoglycosidase digestion, fragmentation by acetolysis and methylation analysis. Three major structures were found, of which two were the biantennary oligomannose type with compositions Man5GlcNAc2 (B-1), Man4GlcNAc2 (C-3) and one was the monoantennary structure Man3GlcNAc2 (D-1). The biantennary oligomannose structures B-1 and C-3 contained the structural unit Man alpha 6Man alpha 6R. This unusual arrangement of mannose linkages suggests a biosynthetic pathway in Limulus which differs from that reported in mammals, plants and the parasitic protozoa."	1993	May-15	214	1	99-110	8508812	0
5	"Andersson, U"	"N-butyldeoxygalactonojirimycin: a more selective inhibitor of glycosphingolipid biosynthesis than N-butyldeoxynojirimycin, in vitro and in vivo"	Biochem Pharmacol	"N-Butyldeoxynojirimycin (NB-DNJ) inhibits the ceramide glucosyltransferase which catalyses the first step in glycosphingolipid (GSL) biosynthesis. It has the potential to be used for the treatment of the GSL lysosomal storage diseases and is currently in clinical trials for the treatment of type 1 Gaucher's disease. However, NB-DNJ is also a potent inhibitor of other enzymes, including alpha-glucosidase I and II, which could potentially cause side effects in patients receiving life-long therapy. Wetherefore evaluated a potentially more selective GSL biosynthesis inhibitor, N-butyldeoxygalactonojirimycin (NB-DGJ), in vitro and in vivo. The distribution and degree of GSL depletion in the liver of mice treated with NB-DGJ or NB-DNJ were equivalent. Mice treated with NB-DGJ had normal body weights and lymphoid organ sizes, whereas NB-DNJ-treated mice showed weight loss and partial lymphoid organ shrinkage. NB-DNJ inhibited glycogen catabolism in the liver, whereas NB-DGJ did not. NB-DNJ was also a potent inhibitor of sucrase and maltase in vitro but not of lactase, while NB-DGJ inhibited lactase but not sucrase or maltase. NB-DGJ is therefore more selective than NB-DNJ, and deserves to be evaluated for human therapy."	2000	Apr-01	59	7	821-9	10718340	0
6	"Andersson, U"	Improved outcome of N-butyldeoxygalactonojirimycin-mediated substrate reduction therapy in a mouse model of Sandhoff disease	Neurobiol Dis	"Sandhoff disease is a severe neurodegenerative glycosphingolipid (GSL) lysosomal storage disorder, currently without treatment options. One therapeutic approach under investigation is substrate reduction therapy (SRT). By partially inhibiting GSL biosynthesis, the impaired rate of GSL catabolism is balanced by a slower rate of influx of GSLs into the lysosome. In a previous study, we reported the beneficial effects of treating Sandhoff disease mice with the glucose analogue N-butyldeoxynojirimycin (NB-DNJ), a compound that inhibits the first step of GSL biosynthesis catalysed by the ceramide specific glucosyltransferase. NB-DNJ, however, exhibits adverse effects at high doses such as weight loss and GI tract distress (due to glucosidase inhibition). This might limit the therapeutic potential of NB-DNJ for treating diseases affecting the CNS where high dose therapy may be required to achieve therapeutic levels of the drug in the brain. In the present study, a more selective compound, the galactose analogue N-butyldeoxygalactonojirimycin (NB-DGJ), was evaluated in the Sandhoff disease mouse model. Treatment with NB-DGJ showed greater therapeutic efficacy than NB-DNJ with no detectable side effects. The ability to escalate the dose of NB-DGJ, leading to extended life expectancy and increased delay in symptom onset, demonstrates the greater therapeutic potential of NB-DGJ for the treatment of the human gangliosidoses."	2004	Aug	16	3	506-15	15262262	0
7	"Andersson, U"	Inhibition of glycogen breakdown by imino sugars in vitro and in vivo	Biochem Pharmacol	"The imino sugar N-butyldeoxynojirimycin (NB-DNJ) is a glucose analogue which inhibits the glycoprotein N-glycan processing enzymes alpha-glucosidases I and II and the ceramide glucosyltransferase that catalyses the first step of glycosphingolipid biosynthesis. This and other N-alkylated DNJ compounds have the potential to inhibit other glucosidase, including acid alpha-glucosidase and alpha-1,6-glucosidase, enzymes involved in glycogen breakdown. We have investigated the effect of NB-DNJ and N-nonyldeoxynojirimycin (NN-DNJ) on glycogen catabolism. Both NB-DNJ and NN-DNJ were potent inhibitors of acid alpha-glucosidase and alpha-1,6-glucosidase in vitro. NB-DNJ and NN-DNJ inhibited liver glycogen breakdown in vivo in fasting mice. Inhibition of glycogen catabolism occurred in the cytosol and lysosomes. The liver glycogen breakdown inhibition was only induced at high doses of NB-DNJ, whereas NN-DNJ caused glycogen accumulation at lower doses. The in vivo effect of NB-DNJ on liver glycogen was transient as there was no inhibition of breakdown after 90 days of treatment. The inhibition by NN-DNJ, was more pronounced, reached a plateau at 50 days and then remained unchanged. Increased glycogen was also observed in skeletal muscle in NB-DNJ- and NN-DNJ-treated mice. Since the effects on glycogen metabolism by NB-DNJ are transient and only occur at high concentrations, it is not predicted that glycogen breakdown will be impaired in patients receiving NB-DNJ therapy. NN-DNJ is the prototype of long alkyl chain derivatives of DNJ that are entering pre-clinical development as potential hepatitis B/hepatitis C (HBV/HCV) therapeutics. Depending on the dose of these compounds used, there is the potential for glycogen catabolism to be partially impaired in experimental animals and man."	2004	Feb-15	67	4	697-705	14757169	0
8	"Arkwright, PD"	Syncytiotrophoblast membrane protein glycosylation patterns in normal human pregnancy and changes with gestational age and parturition	Placenta	"The fetally derived syncytiotrophoblast in the placenta form the major interface with the maternal circulation. Cell surface N-linked oligosaccharides are known to influence cell-cell interactions in a variety of ways. The N-linked oligosaccharide component of the human syncytiotrophoblast membrane has been purified from term placentae, and its biochemical structure analysed. Ninety-five per cent of structures were complex N-linked oligosaccharides, with the remaining 5 per cent being of the oligomannose type. Seventy-two per cent of oligosaccharides were sialylated; 50 per cent having two or more sialic acid residues. Such a population of N-linked oligosaccharides would be expected to provide a surface which inhibits interactions between trophoblast and maternal leukocytes. The temporal changes in syncytiotrophoblast N-linked oligosaccharides from the end of the second, and through the third trimester (25-41 weeks) were analysed, as were the changes which occur during parturition. There was no change in the degree of sialylation of these structures. The only significant change was a 37 per cent decrease in core fucosylation of complex N-linked sugars during gestation (P less than 0.005). Women delivered by caesarean section at term, had significantly higher levels of fucosylation (equivalent to women with a gestational age of 31-36 weeks), than those who laboured at term. Present knowledge of core fucosylation of N-linked oligosaccharides is discussed in relation to trophoblast functioning."	1991	Nov-Dec	12	6	637-51	1805204	0
9	"Arkwright, PD"	"Pre-eclampsia is associated with an increase in trophoblast glycogen content and glycogen synthase activity, similar to that found in hydatidiform moles"	J Clin Invest	"Pre-eclampsia is a placental disorder, but until now, biochemical details of dysfunction have been lacking. During an analysis of the oligosaccharide content of syncytiotrophoblast microvesicles purified from the placental chorionic villi of 10 primigravid women with proteinuric pre-eclampsia, we found an excess of glycogen breakdown products. Further investigation revealed a 10-fold increase in glycogen content (223 +/- 117 micrograms glycogen/mg protein), when compared with controls matched for gestational age at delivery (23 +/- 18 micrograms glycogen/mg protein) (P < 0.01). This was confirmed by examination of electron micrographs of chorionic villous tissue stained for glycogen. The increase in glycogen content was associated with 16 times more glycogen synthase (1,323 +/- 1,013 relative to 83 +/- 96 pmol glucose/mg protein per min) (P < 0.001), and a threefold increase in glycogen phosphorylase activity (2,280 +/- 1,360 relative to 700 +/- 540 pmol glucose/mg protein per min; P < 0.05). Similar changes in glycogen metabolism were found in trophoblast microvesicles derived from hydatidiform moles. Glycogen accumulation in villous syncytiotrophoblast may be a metabolic marker of immaturity of this cell which is unable to divide. The implications of these findings with regard to the pathogenesis of pre-eclampsia are discussed."	1993	Jun	91	6	2744-53	8514882	0
10	"Arkwright, PD"	Suppression of allogeneic reactivity in vitro by the syncytiotrophoblast membrane glycocalyx of the human term placenta is carbohydrate dependent	Glycobiology	"Immunosuppressive factors isolated from trophoblast are known to block both innate and major histocompatibility complex (MHC)-dependent cell-mediated immune responses in vitro and, in some cases, in vivo. We investigated the biochemical nature of these factors, which is presently unknown. Immunosuppressive activity, assessed by inhibition of two-way MLR, was extracted from term syncytiotrophoblast microvilli using 3 M KCl. The activity resisted both extensive pronase digestion and heating to 90 degrees C for 1 h, demonstrating that intact membrane proteins were not required. Although purified protein-linked oligosaccharides released by hydrazinolysis from the syncytiotrophoblast membrane were themselves inactive, they blocked the immunosuppressive activity of the KCl extract. After pronase digestion, the activity could be fractionated by TSK 55S gel filtration, followed by C18 reverse-phase chromatography. Sequential exoglycosidase digestion of hydrazine-released sugars of the active fraction demonstrated that it contained neutral N-linked oligomannose and hybrid oligosaccharides, which normally make up < 3% of the total syncytiotrophoblast-derived protein glycan library. These glycopeptides of the active fraction were associated with membrane phospholipid micelles. The possible mechanism by which incompletely processed N-linked oligosaccharides expressed by a variety of syncytiotrophoblast membrane glycoproteins may block allogeneic reactivity when presented as polyvalent sugar groups is discussed."	1994	Feb	4	1	39-47	8186548	0
